Gen	t_n5	t_n6	t_n7	mu	sigma2	lnL
241000	5.8133975	5.8067611	4.1707807	0.0357375	0.7597162	-1.699
242000	5.9567805	5.9124048	4.1591674	0.0645390	0.8526096	-4.245
243000	5.8656515	5.8602076	4.1220361	0.1371315	0.6301383	-3.741
244000	5.8334536	5.6801468	4.2369238	0.0371981	1.5362301	-2.114
245000	5.8160682	5.6514425	4.2282673	0.0268006	0.9860466	-2.529
246000	5.9981607	5.9701757	4.3361805	0.0798125	0.7900016	-0.261
247000	5.7758917	5.7312890	4.2525848	0.0528360	0.7560654	-2.110
248000	5.7799698	5.7270188	4.2688225	0.0445302	1.1044087	-2.638
249000	5.8109517	5.6831326	4.1203742	0.0340251	1.0659117	-7.601
250000	5.9743336	5.9229721	4.3284878	0.0797932	0.7098797	-4.479
251000	5.8381442	5.7991043	4.3716462	0.0321500	0.8705598	-1.721
252000	5.6882605	5.6484712	4.2592738	0.1224058	1.2461461	-0.799
253000	5.8467464	5.8193058	4.4209280	0.0722094	0.9705207	-4.322
254000	5.9370581	5.8192841	4.2746171	0.0221669	0.8753003	-2.578
255000	5.8715139	5.8202148	4.3237793	0.0505119	0.8466336	-3.332
256000	5.8118418	5.7546901	4.2876385	0.0564773	0.8645522	-1.954
257000	5.8503270	5.8221473	4.2120134	0.1124041	0.8602262	-0.772
258000	5.8892373	5.8491052	4.4382436	0.0665358	0.6130983	-1.594
259000	5.8656434	5.8602149	4.3027791	0.0618472	1.0848737	-0.933
260000	5.8840205	5.7229897	4.2664655	0.0397403	1.1565692	-4.812
261000	5.9181615	5.8514196	4.1597174	0.0279636	0.5614938	-4.274
262000	5.8004799	5.5901015	4.3074284	0.0417233	1.0969356	-2.226
263000	5.9055581	5.8552126	4.1936981	0.0330819	1.3021978	-2.309
264000	5.8538574	5.7985817	4.3743043	0.0296263	0.5882048	-2.341
265000	5.8099261	5.6663450	4.3000388	0.0394501	0.6184236	-4.135
266000	5.7497988	5.7468189	4.1562310	0.0139718	1.4426404	-1.608
267000	5.9295732	5.9181177	4.2093994	0.0561371	0.5424628	-1.950
268000	5.8461879	5.7899654	4.1212277	0.0692590	1.0521050	-2.176
269000	5.6694704	5.6626849	4.3877458	0.0372852	0.9290094	-4.342
270000	5.8642416	5.7627404	4.1755820	0.0499441	0.5763700	-3.598
271000	5.8829647	5.7687470	4.2071853	0.1224112	1.1457433	-2.806
272000	5.8232856	5.6989165	4.4782621	0.0374962	0.8917086	-3.606
273000	5.6672676	5.6540127	4.3327704	0.1434738	1.0157131	-2.323
274000	5.8847798	5.7046265	4.2354612	0.0211058	1.0909379	-1.805
275000	5.8163512	5.7399860	4.2372085	0.0214311	0.4918773	-3.597
276000	5.8408396	5.8237328	4.4364309	0.0309244	1.2586417	-3.631
277000	5.8905573	5.8893234	4.1711582	0.0463262	1.0551370	-0.540
278000	5.7909629	5.7647152	4.2386943	0.0580842	1.1088353	-0.627
279000	5.8270715	5.7255669	4.4149891	0.0475245	1.0643530	-0.991
280000	5.8468083	5.7837872	4.3122491	0.0783898	0.8996188	-3.517
281000	5.8731281	5.7613134	4.3834302	0.0664810	1.4419652	-4.832
282000	5.9352957	5.9348291	4.3325345	0.0794653	0.5906014	-2.304
283000	5.8100202	5.7692875	4.4445598	0.0395994	0.8875560	-1.247
284000	5.7817586	5.7308140	4.1926778	0.0367549	0.9192224	-6.885
285000	5.8303966	5.8211078	4.3090418	0.0682518	0.4810559	-1.142
286000	5.8888050	5.8194240	4.3309418	0.0300337	1.0588984	-2.219
287000	5.8135350	5.7780737	4.4200732	0.0609701	1.0184835	-0.357
288000	5.8755215	5.8274624	4.1282933	0.0187073	1.0385178	-0.663
289000	5.9191500	5.8716534	4.3258806	0.0241268	0.7661457	-1.657
290000	5.8007707	5.7878513	4.1218881	0.0964153	1.1030868	-1.781
291000	5.8368818	5.7562005	4.4953329	0.0895266	0.7278676	-4.021
292000	5.8280117	5.6702731	4.1329592	0.0204177	1.2296304	-5.912
293000	5.8668348	5.8387068	4.4748800	0.0350894	0.8018868	-7.162
294000	5.9116991	5.8775245	4.2167157	0.0602409	0.6555496	-1.349
295000	5.8852446	5.8310163	4.4296327	0.0395269	0.8318893	-1.183
296000	5.7278282	5.7081355	4.1306550	0.0254738	0.7488984	-0.626
297000	5.8325702	5.8119560	4.4593025	0.0462564	1.0698069	-2.186
298000	5.8874704	5.8860302	4.2565710	0.1008010	1.3283393	-2.231
299000	5.9097844	5.8970171	4.4901646	0.0929731	0.8394250	-3.729
300000	5.8376512	5.7669313	4.1183405	0.0329792	0.9832595	-1.488
301000	5.8915232	5.8440403	4.4515373	0.0253088	1.2278018	-1.321
302000	5.8061359	5.7588552	4.3299567	0.0768966	0.7782499	-1.694
303000	5.8319427	5.7921084	4.5207241	0.0229983	0.7667791	-4.283
304000	5.8737955	5.7977679	4.2793005	0.0463888	1.0347152	-2.469
305000	5.7682900	5.7505428	4.1181678	0.0655029	0.6979081	-2.816
306000	5.8117639	5.7070207	4.1384154	0.0339249	0.8101625	-2.200
307000	5.6958416	5.5709650	4.3091452	0.0115643	0.8396348	-2.196
308000	5.8701288	5.8377972	4.2180412	0.0567123	1.0397356	-1.675
309000	5.8498872	5.8333685	4.3778427	0.0281655	1.0892422	-1.423
310000	5.8892744	5.8215883	4.2684803	0.0946233	0.6376625	-5.433
311000	5.7350982	5.7314906	4.3929184	0.0602775	0.8974676	-1.386
312000	5.9101074	5.8627250	4.1124188	0.0408210	0.7227569	-2.321
313000	5.8579201	5.7638510	4.2115458	0.0361621	0.7699629	-2.551
314000	5.7715036	5.7498322	4.1758112	0.0539095	0.5759884	-3.357
315000	5.8971530	5.8721379	4.2338556	0.0390727	0.5372402	-0.842
316000	5.8917238	5.8112587	4.3146439	0.0300509	0.8090378	-4.097
317000	5.9303024	5.8213531	4.3569155	0.0386572	0.9108723	-1.532
318000	5.7865598	5.7836690	4.3366068	0.1206994	0.6750570	-1.522
319000	5.8356903	5.7936822	4.2698222	0.0788173	0.8309045	-0.903
320000	5.8477598	5.8379766	4.5069091	0.0285091	1.3925365	-2.537
321000	5.8325522	5.7885005	4.1088769	0.0955318	0.9646586	-2.336
322000	5.8591714	5.6962745	4.3186889	0.0314025	0.8384295	-1.306
323000	5.7638042	5.5881161	4.3809397	0.0170496	1.0933798	-7.405
324000	5.8389763	5.8169863	4.1333905	0.0189104	0.8104091	-1.439
325000	5.8082720	5.6519111	4.2703986	0.0562138	1.0677472	-2.827
326000	5.9282999	5.8025089	4.3189547	0.0192251	0.6816172	-3.900
327000	5.9330590	5.9059035	4.4238811	0.1209182	0.7676487	-2.747
328000	5.7584655	5.6443301	4.1107645	0.0519022	1.0052309	-2.627
329000	5.8224657	5.7243361	4.3669779	0.0610141	1.0360486	-2.970
330000	5.8504173	5.7901183	4.2486690	0.0383272	1.4696676	-3.870
331000	5.9147174	5.8630017	4.1367091	0.0320012	0.7306192	-1.297
332000	5.9273612	5.8988921	4.1358896	0.0569990	0.8948455	-1.356
333000	5.8405628	5.8008211	4.1558445	0.0467150	0.8007196	-2.253
334000	5.7728581	5.7319491	4.4874935	0.0724651	1.2025299	-1.507
335000	5.9455504	5.8909517	4.3922051	0.0656318	0.7859994	-2.195
336000	5.8225640	5.7296470	4.3076115	0.0348353	1.2062582	-2.576
337000	5.8074462	5.7791286	4.1670351	0.0394944	1.2419247	-3.257
338000	5.7666627	5.7387170	4.2168904	0.0407068	0.8855702	-3.336
339000	5.7068673	5.6958059	4.1139671	0.0870296	0.7236826	-2.184
340000	5.8649349	5.8571569	4.1811468	0.0683950	1.1430604	-5.012
341000	5.9089279	5.7469868	4.2427034	0.0344821	0.6237313	-4.773
342000	5.8632771	5.8339713	4.1556936	0.0638563	0.9505454	-0.773
343000	5.8176220	5.7895305	4.1404458	0.0394989	1.1285467	-3.044
344000	5.7530094	5.7434565	4.2765542	0.0691918	0.8419335	-1.615
345000	5.8791212	5.8419422	4.2067542	0.1026088	0.8778868	-0.879
346000	5.8169651	5.7957799	4.4295592	0.0915267	0.6457132	-1.968
347000	5.7957695	5.7634202	4.1782717	0.0548712	0.4889940	-10.559
348000	5.8146739	5.5611149	4.1756002	0.0178168	0.8356135	-1.327
349000	5.9108538	5.9014656	4.3044007	0.0831698	1.2539970	-0.927
350000	5.9104274	5.9068132	4.1404395	0.0731079	0.9013290	-4.702
351000	5.7228903	5.6671652	4.4320876	0.0318887	0.9375658	-2.698
352000	5.8662154	5.8584337	4.1231252	0.0152423	1.0203247	-3.223
353000	5.8761870	5.8738498	4.4528364	0.0954066	1.0807424	-1.719
354000	5.8766233	5.8649178	4.4197005	0.0330426	0.8824977	-1.810
355000	5.8012819	5.7955097	4.4191436	0.0430234	0.8296282	-1.575
356000	5.8330888	5.7736517	4.2957986	0.0182209	0.6896506	-2.722
